username,comment
Rony Rony,Keren
Nyonya Meneer,kampus mantap
Andrey gg,Ane kuliah disini :v
Maruf Rajasahaya Zidan,Kampus IT
Ciw,Bagus
Rasp Panca,Good
Abdul Rochman Raharjo,Memory indah
Abdurrahman Ngadenan,Great places
E Jim,Menyenangkan
Wayang Bagong,Bravo
Devtapra Bisnis,Akreditasi A
nur diansah,bagus di sini
Petrus Oktavianus,"Menurut saya kampusnya cukup nyaman, Tetapi beberapa kursinya ada yang rusak."
Angel Wong,"Hingga saat ini, saya cukup puas dengan berbagai fasilitas yang disediakan oleh kampus. Sebagian besar ruang kelas memiliki suhu yang sejuk dan mendukung kenyamanan belajar, meskipun ada satu ruangan yang terasa cukup panas. …"
Ramadani Acai,"Kampusnya cukup baik, hanya saja kurang baiknya dalam kualitas wifi, yang di mana sangat di butuhkan sekali, apalagi ini adalah kampus IT yang sangat memerlukan jaringan yang kuat"
Rasta Atalarajafa,Parkiran yang agak kurang selebihnya sudah bagus semua
Aldo,"Kampus IT yang kekurangan Fasilitas IT.

Kampus yang kurang memiliki motivasi untuk melakukan inovasi, Cukup sedih …"
Arya Saputra,"Stmik Widya Cipta Dharma memberikan sebuah kinerja yang cukup baik seperti ruangan yang dingin dan sejuk  ,pelayanan yang baik kepada mahasiswa/i ,mempunyai dosen yang baik dan berkualitas sehingga lebih fleksibel untuk bertanya dan …"
Pintaka Arisna,"Fasilitas di kampus seperti perpustakaan dan laboratorium sudah cukup memadai di kampus STMIK WICIDA, tetapi fasilitas di ruang kelas mungkin masih kurang untuk digunakan. Saran saya yaitu menyediakan fasilitas yang berkualitas bagus di …"
Gabriel Natanael,"a fairly good campus in the IT field. Of course there are advantages and disadvantages in several aspects of this campus, for example some computers in the lab are slow and the wifi is also sometimes slow. some classes are also too small …"
Kimi Rei Constantine,"Sejauh ini fasilitasnya lumayan memadai, mulai dari masuk gerbang, aksesibilitas, dan tempatnya strategis untuk sebuah institusi. Namun, kendala hanya pada jaringannya yang kurang memadai disepanjang perkuliahan ataupun digunakan secara …"
Ryan Isma,Karena STIMIK Widya Cipta Dharma dapat memberikan pengalaman belajar IT terbaik di samarinda. Walaupun ada beberapa hal yang tidak sesuai dengan predikatnya. Seperti beberapa dosen (Tidak semua) memberikan penjelasan yang membingungkan untuk mahasiswa.
Jova Vha,"kampus IT terbaik di samarinda, letak kampus yang strategis, dan dosen dosen yang berkualitas.
hanya saja parkiran yang masih belum cukup luas"
FahmiArrafi 04,Kampusnya bagus
Pandhu Hari permana,Kampus bagus fasilitas lengkap kalok bisa jaringan di tingkatkan
Muhammad Arif Rahman,"STMIK WICIDA kampus IT terbaik di Samarinda. Kampus yang sangat menarik, sangat banyak ilmu dan koneksi yang diperoleh disini. untuk saran tata ruang lebih diperbagus lagi agar pembelajaran lebih nyaman, dan sebagainya"
Akun Ff2,paling ungu
Jonathan Gracio Tampemawa,"Kampus bagus untuk yg mau kuliah IT, Lab nya bagus, dingin. Minus di Wifi kampus aj yg lelet"
Agus Ferianto,"kampus wicida adalah salah satu kampus it terbaik di kalimantan timur, menyajikan fasilitas belajar yang baik 👍🏻 untuk saran sih di bagian lab nya bisa di upgrade lagi spesifikasi pc nya agar lebih nyaman lagi ketika digunakan. Terimakasih …"
FIRMAN BOSE,Untuk kualitas wifi yang sangat tidak memuaskan dan WC nya kurang bersih dan harapan saya segera di perbaiki supaya bisa lebih membantu para mahasiswa
Davin Kriswanto,"Stimik tempatnya bagus untuk mahasiswanya  dapat saling berbagi ilmu, tempat berkawan,  dan fasilitas bagus sekali👍 …"
William Saroyan,"where is the darkness, there is a light. tentu nya tiap kampus memiliki kelebihan dan kekurannya masing - masing. untuk saat ini, kampus ini bagus dari segi kerja sama nya, terutama dengan kemdikbud sehingga program beasiswa maupun program …"
Who Am I,"Kampus bagus, walau masih bnyk problem dalam lab seperti pc yang lemot, ac yg g fungsi, dan wifi yang kadang gangguan sampai gabisa di pakai."
Ceming02,Saya adalah mahasiswa yang sedang menempuh pendidikan di kampus Widya Cipta Dharma ingin membagi sedikit pengalaman saya selama berkuliah disini …
Ryan Artanto Halim,Kampus ini adalah kampus yang sangat bagus bagi yang ingin mendalami bidang IT. Fasilitas dan sarana prasarana yang tersedia cukup memadai untuk mendukung proses pembelajaran. Meski begitu masih ada beberapa aspek yang dapat dikembangkan di …
Nadia Rahmadani,"Saya sangat suka dengan lingkungannya yang sangat mendukung kegiatan belajar. Suasana kampus nyaman, dengan ruang-ruang belajar yang tertata rapi dan bersih."
Ket,"Kampus dengan fasilitas Kelas dan bangunan sudah sangat nyaman untuk belajar. Namun, lab mungkin harus tingkatkan bagian komputer agar dapat mengimbangi beberapa matakuliah, sekian terimakasih🙏🙏 …"
Aisya Larasati,Kampus akreditas terbaik buat kalian yang memiliki minat belajar lebih dalam tentang komputer .
computer G177,"saya melihat ada beberapa improvisasi di STMIK, saya harap stmik bisa lebih jauh lagi perkembangannya. Semangat terus deh pokoknya buat para warga STMIK"
Iqbal Imam Majid,kampus IT paling okee di smd 👍👍👍 …
Stevan Sanjaya,Bagus
rizky martha sutama,semoga stmik jaya selalu
LZR Vaz,"Sangat bagus, kampus terbaik, kampus teknologi terbaik di samarinda.
Minusnya di ruang 7 sama 13 panas, wc nya tombolnya rusak semua."
Ahmad Annas Habibi,Kampusnya bagus enak diliat dari luar tapi fasilitas nya kurang memadai kayak ACnya yang kurang dingin di ruangan tertentu
Farnadhif Wizardi,Kampus yang memiliki bidang teknologi informatika yang sangat baik dan hanya perlu diperbaiki insfraktruktur
Somadul Mustawa,Kampus terbaik untuk belajar coding
M Fa'iq Rizqan AlFattah,"ruang 7 ac nya tidak nyala dan saat pembelajaran ruangan nya sangat panas
ruang 13 juga sama dan hanya kipas saja yang bisa nyala"
Sebastin D,"Fasilitas Lengkap
Orang nya ramah ramah
Memuaskan"
Halim Walian,kampus TI terbaik di samarinda dan mewah 👍👍 …
Ricko Damario,Bagus untuk belajar tentang IT
ramzy,Kampus informatika terbaik di Samarinda. Memiliki fasilitas yang lengkap.
Muh Yusuf,"Salah satu kampus terbaik di samarinda, dengan fasilitas yang mencukupi kebutuhan untuk mahasiswanya, semoga bisa terus meningkat"
Abdi Mahanee,kampus IT berkelass
Muh Askarullah Al Mufadhdhal,Kampus IT keren 🔥🔥🔥🔥 …
Evander Steven Claus,Saya suka saya suka 🥰🥰 …
Nazril Rafliriansyah,wonderful university🤩 …
Dream Breaker,"bangunan sudah sangat nyaman untuk belajar. Hanya saja beberapa komponen lab seperti spesifikasi komputer dan keyboard agar bisa memberi kenyamanan saat melaksanakan praktikum, Terima kasih"
Marta Dinata,Menjadikan diri saya berkembang dan berprestasi
Alunk Karnaen,"Kampus Teknik Informatika Terbaik Di Samarinda, untuk segala pasilitasnya sangat memadai sekali dari Ruang kelas, Kantin, Perpustakaan dan Lab Praktikum."
Andika Suryastradaᄎ,"bagus , cuman kantin kurang besar jadi mau bersantai agak susah karna ramai , ac juga kurang dingin jadi sering kepanasan , sisanya bagus , ramah ramah dosennya , tempat buat nongkrongnya juga kurang jadi bingung mau nunggu matkul selanjutnya dimana , tapi bagus kok , mantap"
